,R1,R2,R3,R4,R5
V769,1,2,5,17,23
V770,1,2,5,17,24
V771,1,2,5,17,25
V772,1,2,5,17,26
V773,1,2,5,17,27
V774,1,2,5,17,28
V775,1,2,5,18,19
V776,1,2,5,18,20
V777,1,2,5,18,21
V778,1,2,5,18,22
V779,1,2,5,18,23
V780,1,2,5,18,24
V781,1,2,5,18,25
V782,1,2,5,18,26
V783,1,2,5,18,27
V784,1,2,5,18,28
V785,1,2,5,19,20
V786,1,2,5,19,21
V787,1,2,5,19,22
V788,1,2,5,19,23
V789,1,2,5,19,24
V790,1,2,5,19,25
V791,1,2,5,19,26
V792,1,2,5,19,27
V793,1,2,5,19,28
V794,1,2,5,20,21
V795,1,2,5,20,22
V796,1,2,5,20,23
V797,1,2,5,20,24
V798,1,2,5,20,25
V799,1,2,5,20,26
V800,1,2,5,20,27
V801,1,2,5,20,28
V802,1,2,5,21,22
V803,1,2,5,21,23
V804,1,2,5,21,24
V805,1,2,5,21,25
V806,1,2,5,21,26
V807,1,2,5,21,27
V808,1,2,5,21,28
V809,1,2,5,22,23
V810,1,2,5,22,24
V811,1,2,5,22,25
V812,1,2,5,22,26
V813,1,2,5,22,27
V814,1,2,5,22,28
V815,1,2,5,23,24
V816,1,2,5,23,25
V817,1,2,5,23,26
V818,1,2,5,23,27
V819,1,2,5,23,28
V820,1,2,5,24,25
V821,1,2,5,24,26
V822,1,2,5,24,27
V823,1,2,5,24,28
V824,1,2,5,25,26
V825,1,2,5,25,27
V826,1,2,5,25,28
V827,1,2,5,26,27
V828,1,2,5,26,28
V829,1,2,5,27,28
V830,1,2,6,7,8
V831,1,2,6,7,9
V832,1,2,6,7,10
V833,1,2,6,7,11
V834,1,2,6,7,12
V835,1,2,6,7,13
V836,1,2,6,7,14
V837,1,2,6,7,15
V838,1,2,6,7,16
V839,1,2,6,7,17
V840,1,2,6,7,18
V841,1,2,6,7,19
V842,1,2,6,7,20
V843,1,2,6,7,21
V844,1,2,6,7,22
V845,1,2,6,7,23
V846,1,2,6,7,24
V847,1,2,6,7,25
V848,1,2,6,7,26
V849,1,2,6,7,27
V850,1,2,6,7,28
V851,1,2,6,8,9
V852,1,2,6,8,10
V853,1,2,6,8,11
V854,1,2,6,8,12
V855,1,2,6,8,13
V856,1,2,6,8,14
V857,1,2,6,8,15
V858,1,2,6,8,16
V859,1,2,6,8,17
V860,1,2,6,8,18
V861,1,2,6,8,19
V862,1,2,6,8,20
V863,1,2,6,8,21
V864,1,2,6,8,22
V865,1,2,6,8,23
V866,1,2,6,8,24
V867,1,2,6,8,25
V868,1,2,6,8,26
V869,1,2,6,8,27
V870,1,2,6,8,28
V871,1,2,6,9,10
V872,1,2,6,9,11
V873,1,2,6,9,12
V874,1,2,6,9,13
V875,1,2,6,9,14
V876,1,2,6,9,15
V877,1,2,6,9,16
V878,1,2,6,9,17
V879,1,2,6,9,18
V880,1,2,6,9,19
V881,1,2,6,9,20
V882,1,2,6,9,21
V883,1,2,6,9,22
V884,1,2,6,9,23
V885,1,2,6,9,24
V886,1,2,6,9,25
V887,1,2,6,9,26
V888,1,2,6,9,27
V889,1,2,6,9,28
V890,1,2,6,10,11
V891,1,2,6,10,12
V892,1,2,6,10,13
V893,1,2,6,10,14
V894,1,2,6,10,15
V895,1,2,6,10,16
V896,1,2,6,10,17
V897,1,2,6,10,18
V898,1,2,6,10,19
V899,1,2,6,10,20
V900,1,2,6,10,21
V901,1,2,6,10,22
V902,1,2,6,10,23
V903,1,2,6,10,24
V904,1,2,6,10,25
V905,1,2,6,10,26
V906,1,2,6,10,27
V907,1,2,6,10,28
V908,1,2,6,11,12
V909,1,2,6,11,13
V910,1,2,6,11,14
V911,1,2,6,11,15
V912,1,2,6,11,16
V913,1,2,6,11,17
V914,1,2,6,11,18
V915,1,2,6,11,19
V916,1,2,6,11,20
V917,1,2,6,11,21
V918,1,2,6,11,22
V919,1,2,6,11,23
V920,1,2,6,11,24
V921,1,2,6,11,25
V922,1,2,6,11,26
V923,1,2,6,11,27
V924,1,2,6,11,28
V925,1,2,6,12,13
V926,1,2,6,12,14
V927,1,2,6,12,15
V928,1,2,6,12,16
V929,1,2,6,12,17
V930,1,2,6,12,18
V931,1,2,6,12,19
V932,1,2,6,12,20
V933,1,2,6,12,21
V934,1,2,6,12,22
V935,1,2,6,12,23
V936,1,2,6,12,24
V937,1,2,6,12,25
V938,1,2,6,12,26
V939,1,2,6,12,27
V940,1,2,6,12,28
V941,1,2,6,13,14
V942,1,2,6,13,15
V943,1,2,6,13,16
V944,1,2,6,13,17
V945,1,2,6,13,18
V946,1,2,6,13,19
V947,1,2,6,13,20
V948,1,2,6,13,21
V949,1,2,6,13,22
V950,1,2,6,13,23
V951,1,2,6,13,24
V952,1,2,6,13,25
V953,1,2,6,13,26
V954,1,2,6,13,27
V955,1,2,6,13,28
V956,1,2,6,14,15
V957,1,2,6,14,16
V958,1,2,6,14,17
V959,1,2,6,14,18
V960,1,2,6,14,19
V961,1,2,6,14,20
V962,1,2,6,14,21
V963,1,2,6,14,22
V964,1,2,6,14,23
V965,1,2,6,14,24
V966,1,2,6,14,25
V967,1,2,6,14,26
V968,1,2,6,14,27
V969,1,2,6,14,28
V970,1,2,6,15,16
V971,1,2,6,15,17
V972,1,2,6,15,18
V973,1,2,6,15,19
V974,1,2,6,15,20
V975,1,2,6,15,21
V976,1,2,6,15,22
V977,1,2,6,15,23
V978,1,2,6,15,24
V979,1,2,6,15,25
V980,1,2,6,15,26
V981,1,2,6,15,27
V982,1,2,6,15,28
V983,1,2,6,16,17
V984,1,2,6,16,18
V985,1,2,6,16,19
V986,1,2,6,16,20
V987,1,2,6,16,21
V988,1,2,6,16,22
V989,1,2,6,16,23
V990,1,2,6,16,24
V991,1,2,6,16,25
V992,1,2,6,16,26
V993,1,2,6,16,27
V994,1,2,6,16,28
V995,1,2,6,17,18
V996,1,2,6,17,19
V997,1,2,6,17,20
V998,1,2,6,17,21
V999,1,2,6,17,22
V1000,1,2,6,17,23
V1001,1,2,6,17,24
V1002,1,2,6,17,25
V1003,1,2,6,17,26
V1004,1,2,6,17,27
V1005,1,2,6,17,28
V1006,1,2,6,18,19
V1007,1,2,6,18,20
V1008,1,2,6,18,21
V1009,1,2,6,18,22
V1010,1,2,6,18,23
V1011,1,2,6,18,24
V1012,1,2,6,18,25
V1013,1,2,6,18,26
V1014,1,2,6,18,27
V1015,1,2,6,18,28
